ResourceGroupName,ResourceGroupId,Subscription,SubscriptionId,ResourceName,ResourceId,ResourceType,ResourceLocation,Tags,Cost,CostUSD,Currency
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,core-services-ip,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.network/publicipaddresses/core-services-ip,Public IP address,eu west,"[""\""infrastructure\"":\""\"""",""\""prod\"":\""\""""]",19.45,2.97,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,enocderegistry,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.containerregistry/registries/enocderegistry,Container registry,eu north,[],5.96,0.91,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,mitforlob.dk,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.network/dnszones/mitforlob.dk,DNS zone,unknown,[],3.416023992,0.522179227,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,hjemmeforlob.dk,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.network/dnszones/hjemmeforlob.dk,DNS zone,unknown,[],3.278063239,0.50039595,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,mithjemmeforlob.dk,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.network/dnszones/mithjemmeforlob.dk,DNS zone,unknown,[],3.277108809,0.500245251,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,xn--mithjemmeforlb-2qb.dk,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.network/dnszones/xn--mithjemmeforlb-2qb.dk,DNS zone,unknown,[],3.271913392,0.499424921,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,xn--hjemmeforlb-pgb.dk,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.network/dnszones/xn--hjemmeforlb-pgb.dk,DNS zone,unknown,[],3.271890568,0.499421318,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,xn--mitforlb-c5a.dk,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.network/dnszones/xn--mitforlb-c5a.dk,DNS zone,unknown,[],3.265,0.498333333,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,aci-encoderdemoimageqa,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.containerinstance/containergroups/aci-encoderdemoimageqa,Container instances,eu north,[],0.634491018,0.097288623,DKK
visikoncore,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore,Unassigned,2eee8cff-bcfd-47ef-a804-20d8998ef998,aci-encoderdemoimage,/subscriptions/2eee8cff-bcfd-47ef-a804-20d8998ef998/resourcegroups/visikoncore/providers/microsoft.containerinstance/containergroups/aci-encoderdemoimage,Container instances,eu north,[],0.619417287,0.094977317,DKK
